"REF_DATE","GEO","DGUID","Traveller category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","1393487","","","","0"
"2020-02","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","1379182","","","","0"
"2020-03","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","605734","","","","0"
"2020-04","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","54569","","","","0"
"2020-05","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","42326","","","","0"
"2020-06","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","45499","","","","0"
"2020-07","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","43813","","","","0"
"2020-08","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","53263","","","","0"
"2020-09","Ontario","2016A000235","Total non resident travellers","Persons","249","units","0","v32214438","6.1","71215","","","","0"
"2020-01","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","2348636","","","","0"
"2020-02","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","2367382","","","","0"
"2020-03","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","1403526","","","","0"
"2020-04","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","104405","","","","0"
"2020-05","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","125576","","","","0"
"2020-06","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","183927","","","","0"
"2020-07","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","177600","","","","0"
"2020-08","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","179541","","","","0"
"2020-09","Ontario","2016A000235","Total Canadian travellers returning from abroad","Persons","249","units","0","v32214445","6.4","217611","","","","0"


